country_region,demographic_density
Macau,21501.42
Monaco,15363.5
Singapore,8337.03
Hong_Kong,6510.23
Gibraltar,4532.46
Vatican,2272.73
Barém,1898.24
Malta,1421.02
Bermudas,1318.07
Maldivas,131702
Bangladeche,1074.05
Jersey,858.64
Guernsey,855.09
Barbados,681.7
Coral_Sea_Islands,672.33
Maurícia,668.77
Taiwan,654.42
Aruba,647.64
São_Martinho,593.46
Líbano,586.55
São_Marinho,553.75
Coreia_do_Sul,515.62
West_Bank,477.56
Ruanda,462.73
Nauru,461.52
Tuvalu,428.73
Burúndi,425.6
Ilhas_Marshall,418.14
Países_Baixos,412.85
Índia,394.5
Haiti,388.77
Israel,384.05
Bélgica,379.02
Comores,367.41
Porto_Rico,361.89
Filipinas,352.98
Sri_Lanca,344.1
Japão,333.85
Granada,326.18
Wake_Island,310.46
Guame,308.4
Salvador,294.06
Vietname,292.99
São_Bartolomeu,286.4
Santa_Lúcia,268.69
Reino_Unido,267.25
São_Vicente_e_Granadinas,261.81
Paquistão,261.1
Jamaica,255.85
Listenstaine,240.92
Ilhas_Virgens_Britânicas,237.1
Trindade_e_Tobago,237.04
Luxemburgo,234.25
Samoa_Americana,226.9
Ilhas_Caimão,225.81
Alemanha,225.36
Nigéria,220.24
Antígua_e_Barbuda,216.63
São_Tomé_e_Príncipe,212.09
República_Dominicana,211.6
Coreia_do_Norte,210.57
Seicheles,207.98
Itália,206.57
Catar,204
São_Cristóvão_e_Neves,203.43
Nepal,201.91
Suíça,200.91
Anguila,191.45
Paracel_Islands,185.81
Gâmbia,185.2
Andorra,183.14
Kosovo,175.22
Uganda,169.49
Malávi,167.47
Kuwait,163.68
Man,_Isle_of,156.31
Guatemala,152.28
Micronésia,147.64
China,144.28
Togo,143.99
Tonga,142.43
Cabo_Verde,140.93
Indonésia,137.98
República_Checa,135.5
Quiribáti,134.85
Dinamarca,134.81
Tailândia,133.72
Akrotiri,126.02
Polónia,122.87
Gana,117.81
Jordânia,117.06
Emiratos_Árabes_Unidos,116.04
Azerbaijão,116.01
Portugal,112.45
Marianas_do_Norte,112.06
Eslováquia,111.04
Wallis_e_Futuna,111.01
Tokelau,107.08
Albânia,106.35
Hungria,105.62
Áustria,104.84
França,104.64
Síria,103.79
Turquia,103.7
Eslovénia,103.69
Arménia,102.15
Moldávia,101.55
Benim,100.7
Cuba,100.27
Egipto,99.27
Domínica,98.57
Etiópia,98.15
Espanha,97.61
Costa_Rica,97.6
Malásia,96.44
Iraque,91.7
Sérvia,91.36
Camboja,90.86
Roménia,90.01
Timor_Leste,88.88
Serra_Leoa,87.99
Quénia,83.39
Macedónia,82.41
Birmânia,82.21
Honduras,81.92
Grécia,81.55
Costa_do_Marfim,81.44
Brunei,78.16
Marrocos,76.84
Senegal,76.36
Croácia,75.46
Bósnia_e_Herzegovina,75.2
Ucrânia,72.82
Irlanda,72.12
Burquina_Faso,72
Samoa,71.11
Tunísia,70.39
Polinésia_Francesa,69.68
Usbequistão,67.11
Lesoto,64.65
México,64.12
Bulgária,63.65
Suazilândia,62.61
Tajiquistão,59.71
Tanzânia,58.54
Equador,58.18
Geórgia,57.35
Ilhas_Turcas_e_Caicos,56.65
Ilhas_Virgens_Americanas,56.01
Iémen,54.3
Camarões,53.93
Afeganistão,53.57
Monserrate,52.11
Eritreia,50.77
Guiné-Bissau,50.75
Fiji,50.69
Panamá,50.39
Irão,50.37
Ilha_Norfolk,48.56
Guiné,48.22
Palau,46.88
Nicarágua,46.68
Bielorrússia,45.89
África_do_Sul,45.43
Montenegro,44.47
Madagáscar,43.75
Libéria,43.19
Lituânia,42.78
Ilhas_dos_Cocos,42.57
Colômbia,42.29
Ilhas_Cook,38.3
Jibuti,38.1
Faroé,36.62
Congo-Kinshasa,36.37
Zimbabué,35.91
Venezuela,34.74
Moçambique,34.07
Estados_Unidos,33.48
Laos,30.55
Letónia,29.78
Quirguizistão,29.25
Guiné_Equatorial,28.43
Estónia,27.51
Brasil,24.52
Peru,24.38
Angola,24.35
Baamas,23.96
Chile,23.71
Vanuatu,23.63
Sudão,23.16
Ilhas_Salomão,22.84
São_Pedro_e_Miquelon,22.61
Suécia,22.3
Zâmbia,21.85
Território_Britânico_do_Oceano_Índico,20
Butão,19.96
Santa_Helena,19.9
Uruguai,19.12
Somália,17.66
Argélia,17.49
Paraguai,17.27
Nova_Zelândia,16.91
Belize,16.8
Noruega,16.59
Finlândia,16.38
Ilha_do_Natal,16.33
Argentina,16.07
Sudão_do_Sul,15.84
Níger,15.68
Arábia_Saudita,15.39
Nova_Caledónia,15.22
Papua-Nova_Guiné,15.18
Omã,14.91
Mali,14.86
Congo-Brazzaville,14.8
Chade,12.33
Turquemenistão,11.09
Bolívia,10.29
República_Centro-Africana,9.22
Rússia,8.31
Gabão,7.92
Cazaquistão,6.88
Niue,6.22
Botsuana,3.87
Líbia,3.84
Mauritânia,3.73
Suriname,3.65
Canadá,3.59
Guiana,3.45
Islândia,3.34
Namíbia,3.07
Austrália,3.03
Sara_Ocidental,2.33
Mongólia,1.98
Pitcairn,1.15
Ilhas_Falkland,0.26
Svalbard_e_Jan_Mayen,0.04
Gronelândia,0.03
Antárctida,0